课程名称,课程类别,课程形式,课程编号,课程时长,URL,危险源,,
抛石挤淤处理软基的重难点分析与对策措施,风险提示类课程,,GFC.D.31,03:02,https://v.douyin.com/cWVlTqsifv8/,抛石挤淤作业,,
路基施工安全注意事项,风险提示类课程,,GFC.D.32,00:40,https://v.douyin.com/WPjgZO7cuwU/,路基作业,,
隧道洞门工程3个坑,风险提示类课程,,GFC.D.33,01:46,https://v.douyin.com/BVMBQ23024I/,洞门墙作业,,
管棚支护加固3个坑,风险提示类课程,,GFC.D.34,02:01,https://v.douyin.com/kFX6aYjMo0U/,管棚作业,,
隧道施工爆破作业3个坑,风险提示类课程,,GFC.D.35,02:35,https://v.douyin.com/GyJpo5JXXNo/,隧道爆破作业,,
喷射混凝土回弹与粉尘3个坑,风险提示类课程,,GFC.D.36,02:06,https://v.douyin.com/h3M4NtEWfEE/,喷射混凝土作业,,
隧道防水板施工需注意事项,风险提示类课程,,GFC.D.37,00:27,https://v.douyin.com/XMh3bSMTKUo/,防水层铺设作业,,
矿山隧道混凝土衬砌混凝土施工,风险提示类课程,,GFC.D.38,01:02,https://v.douyin.com/AFWVFxULxrI/,衬砌混凝土作业,,
隧道施工通风排烟3个坑,风险提示类课程,,GFC.D.39,01:42,https://v.douyin.com/8r4aEPWDbDg/,施工通风作业,,
仰拱作业地段安全隐患排查要点,风险提示类课程,,GFC.D.40,00:18,https://v.douyin.com/lWgBLcj1m8o/,仰供、铺底作业,,
预防瓦斯爆炸的3个方法,风险提示类课程,,GFC.D.41,01:12,https://v.douyin.com/I7jTcAzcv_4/,瓦斯隧道开挖作业,,
临时安全护栏施工,风险提示类课程,,GFC.D.42,03:53,https://v.douyin.com/FT0T30tJUak/,护栏作业,,
